tool,family,access,parameter,type,required,default,enum_values,parameter_class,description
apply_form_design_plan,UI de formularios,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
apply_form_design_plan,UI de formularios,write-capable,outputMode,enum,False,,summary | file | full,common,"Response output mode determining payload content: 'summary', 'file', or 'full'."
catalog_add_control,Artefactos form/report,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
catalog_add_control,Artefactos form/report,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
catalog_add_control,Artefactos form/report,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
catalog_add_control,Artefactos form/report,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
catalog_add_control,Artefactos form/report,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
catalog_add_control,Artefactos form/report,write-capable,projectRoot,string,False,,,common,Optional override for project root.
catalog_add_control,Artefactos form/report,write-capable,catalogPath,string,False,,,functional,Form control catalog path.
catalog_add_control,Artefactos form/report,write-capable,controlName,string,False,,,functional,Control name.
catalog_add_control,Artefactos form/report,write-capable,controlType,string,False,,,functional,Control type.
catalog_add_control,Artefactos form/report,write-capable,type,string,False,,,functional,Control type alias.
catalog_add_control,Artefactos form/report,write-capable,spec,object,False,,,functional,Form/report specification object.
catalog_add_control,Artefactos form/report,write-capable,specPath,string,False,,,functional,Form/report specification path.
catalog_add_control,Artefactos form/report,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
catalog_add_control,Artefactos form/report,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
clean_stale_markers,Procesos/recuperación,write-capable,,,,,,none,Tool reports no parameters in schema({}).
cleanup_access_operation,Procesos/recuperación,write-capable,operationId,string,True,,,functional,Dysflow operation id.
cleanup_access_operation,Procesos/recuperación,write-capable,force,boolean,False,,,functional,Force operation when supported.
cleanup_access_operation,Procesos/recuperación,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
cleanup_access_operation,Procesos/recuperación,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
cleanup_access_operation,Procesos/recuperación,write-capable,accessPath,string,True,,,common,Optional override for Access frontend database path.
cleanup_access_operation,Procesos/recuperación,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
cleanup_access_operation,Procesos/recuperación,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
cleanup_access_operation,Procesos/recuperación,write-capable,projectRoot,string,False,,,common,Optional override for project root.
cleanup_access_operation,Procesos/recuperación,write-capable,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
cleanup_access_operation,Procesos/recuperación,write-capable,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
cleanup_access_operation,Procesos/recuperación,write-capable,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
cleanup_access_operation,Procesos/recuperación,write-capable,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
cleanup_access_operation,Procesos/recuperación,write-capable,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
compact_repair,Escritura DB,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
compact_repair,Escritura DB,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
compact_repair,Escritura DB,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
compact_repair,Escritura DB,write-capable,databasePath,string,False,,,functional,Database path.
compact_repair,Escritura DB,write-capable,sourcePath,string,False,,,functional,Source path alias for databasePath.
compact_repair,Escritura DB,write-capable,target,enum,False,,frontend | backend,functional,Database role to compact. Defaults to frontend. backend resolves to the configured backendPath. Explicit databasePath/sourcePath/accessPath overrides the semantic target in that precedence order.
compact_repair,Escritura DB,write-capable,backupFirst,boolean,False,,,functional,Create a backup before compact/repair.
compact_repair,Escritura DB,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
compact_repair,Escritura DB,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
compare_backends,Lectura DB/esquema,read-only,projectId,string,False,,,common,Canonical project identity for traceability.
compare_backends,Lectura DB/esquema,read-only,contextId,string,False,,,common,Optional run/context id for this call.
compare_backends,Lectura DB/esquema,read-only,accessPath,string,False,,,common,Optional override for Access frontend database path.
compare_backends,Lectura DB/esquema,read-only,backendPath,string,False,,,common,Optional override for Access backend database path.
compare_backends,Lectura DB/esquema,read-only,comparePath,string,False,,,functional,Backend comparison path alias for backendPath.
compare_form,Artefactos form/report,read-only,projectId,string,False,,,common,Canonical project identity for traceability.
compare_form,Artefactos form/report,read-only,contextId,string,False,,,common,Optional run/context id for this call.
compare_form,Artefactos form/report,read-only,sourcePath,string,False,,,functional,Source path alias for databasePath.
compare_form,Artefactos form/report,read-only,path,string,False,,,functional,Path alias (used as exportPath or importPath depending on tool).
compare_form,Artefactos form/report,read-only,targetPath,string,False,,,functional,Path to the right-side .form.txt (compared against sourcePath). Required unless 'target' alias is provided.
compare_form,Artefactos form/report,read-only,target,string,False,,,functional,Alias for targetPath.
compare_form,Artefactos form/report,read-only,formName,string,False,,,functional,Optional left form/report name.
compare_form,Artefactos form/report,read-only,name,string,False,,,functional,Alias for formName.
compare_form,Artefactos form/report,read-only,targetName,string,False,,,functional,Optional right form/report name.
compare_form,Artefactos form/report,read-only,targetForm,string,False,,,functional,Alias for targetName.
copy_form_ui_pattern,UI de formularios,read-only,projectId,string,False,,,common,Canonical project identity for traceability.
copy_form_ui_pattern,UI de formularios,read-only,contextId,string,False,,,common,Optional run/context id for this call.
copy_form_ui_pattern,UI de formularios,read-only,behaviorMap,object,True,,,functional,"FormUiBehaviorMap produced by map_form_behavior. Required fields describe controls, form events, unmapped CodeGraph evidence, and warnings. Optional mapper metadata such as a nullable codegraphIndexPath is accepted for runtime parity."
copy_form_ui_pattern,UI de formularios,read-only,referencePattern,object,True,,,functional,"Reference UI pattern. sourceForm, intent, and mappedControls are required; mappedControls maps reference control names to target control names."
copy_form_ui_pattern,UI de formularios,read-only,outputMode,enum,False,,summary | file | full,common,"Response output mode determining payload content: 'summary', 'file', or 'full'."
count_rows,Lectura DB/esquema,read-only,projectId,string,False,,,common,Canonical project identity for traceability.
count_rows,Lectura DB/esquema,read-only,contextId,string,False,,,common,Optional run/context id for this call.
count_rows,Lectura DB/esquema,read-only,accessPath,string,False,,,common,Optional override for Access frontend database path.
count_rows,Lectura DB/esquema,read-only,backendPath,string,False,,,common,Optional override for Access backend database path.
count_rows,Lectura DB/esquema,read-only,databasePath,string,False,,,functional,Database path.
count_rows,Lectura DB/esquema,read-only,sourcePath,string,False,,,functional,Source path alias for databasePath.
count_rows,Lectura DB/esquema,read-only,target,enum,False,,frontend | backend | auto,functional,Semantic target role for table-aware reads. auto probes the configured backend and frontend using tableName; it fails when the table is missing or exists in both. Explicit databasePath/sourcePath wins.
count_rows,Lectura DB/esquema,read-only,tableName,string,False,,,functional,Table name.
count_rows,Lectura DB/esquema,read-only,table,string,False,,,functional,Table name alias.
count_rows,Lectura DB/esquema,read-only,sql,string,False,,,functional,SQL text.
count_rows,Lectura DB/esquema,read-only,query,string,False,,,functional,SQL query alias.
create_form_from_template,Artefactos form/report,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
create_form_from_template,Artefactos form/report,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
create_form_from_template,Artefactos form/report,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
create_form_from_template,Artefactos form/report,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
create_form_from_template,Artefactos form/report,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
create_form_from_template,Artefactos form/report,write-capable,projectRoot,string,False,,,common,Optional override for project root.
create_form_from_template,Artefactos form/report,write-capable,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
create_form_from_template,Artefactos form/report,write-capable,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
create_form_from_template,Artefactos form/report,write-capable,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
create_form_from_template,Artefactos form/report,write-capable,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
create_form_from_template,Artefactos form/report,write-capable,sourceForm,string,True,,,functional,Source form name (e.g. 'Form_FormRiesgosGestionRiesgo'). Resolved bench-cache first then projectRoot.
create_form_from_template,Artefactos form/report,write-capable,targetForm,string,True,,,functional,Target form name (e.g. 'Form_FormNuevaAuditoria'). The new form being created. Rejected if the file already exists and overwrite is false.
create_form_from_template,Artefactos form/report,write-capable,tokenMap,object,True,,,functional,Token replacement map: '{{Token}}' placeholder -> replacement string. Keys must be non-empty strings; values must be strings.
create_form_from_template,Artefactos form/report,write-capable,missingTokenPolicy,enum,False,,warn-pass-through | strict,functional,How to handle a token present in the source but absent from tokenMap. 'warn-pass-through' (default) leaves the token verbatim and emits a warning; 'strict' throws FORM_MUTATION_INVALID.
create_form_from_template,Artefactos form/report,write-capable,strictMissingTokens,boolean,False,,,functional,"Convenience flag equivalent to missingTokenPolicy:'strict'. When true, any unmapped source token is a typed error and no target is written."
create_form_from_template,Artefactos form/report,write-capable,overwrite,boolean,False,,,functional,"When true, an existing target .form.txt is replaced via the gated restore path so a failed load restores prior state. Default false."
create_form_from_template,Artefactos form/report,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
create_form_from_template,Artefactos form/report,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
create_form_from_template,Artefactos form/report,write-capable,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
create_form_from_template,Artefactos form/report,write-capable,outputMode,enum,False,,summary | file | full,common,"Response output mode determining payload content: 'summary', 'file', or 'full'."
create_table,Escritura DB,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
create_table,Escritura DB,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
create_table,Escritura DB,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
create_table,Escritura DB,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
create_table,Escritura DB,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
create_table,Escritura DB,write-capable,projectRoot,string,False,,,common,Optional override for project root.
create_table,Escritura DB,write-capable,databasePath,string,False,,,functional,Database path.
create_table,Escritura DB,write-capable,sourcePath,string,False,,,functional,Source path alias for databasePath.
create_table,Escritura DB,write-capable,tableName,string,False,,,functional,Table name.
create_table,Escritura DB,write-capable,table,string,False,,,functional,Table name alias.
create_table,Escritura DB,write-capable,definition,string,False,,,functional,Table definition or fields.
create_table,Escritura DB,write-capable,fields,string,False,,,functional,Table definition alias.
create_table,Escritura DB,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
create_table,Escritura DB,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
delete_module,Sync VBA,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
delete_module,Sync VBA,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
delete_module,Sync VBA,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
delete_module,Sync VBA,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
delete_module,Sync VBA,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
delete_module,Sync VBA,write-capable,projectRoot,string,False,,,common,Optional override for project root.
delete_module,Sync VBA,write-capable,moduleName,string,False,,,functional,VBA module name.
delete_module,Sync VBA,write-capable,moduleNames,array,False,,,functional,VBA module names. No hard length cap — long lists (20-30+) are accepted; the import path emits one per-module entry in the structured report so consumers can pinpoint which entry failed and why. An empty array is a valid explicit no-op plan and is NOT silently expanded to import-all.
delete_module,Sync VBA,write-capable,force,boolean,False,,,functional,Force operation when supported.
delete_module,Sync VBA,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
delete_module,Sync VBA,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
delete_module,Sync VBA,write-capable,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
describe_tool,Bootstrap/diagnóstico,read-only,name,string,False,,,functional,Tool name to describe (canonical param).
describe_tool,Bootstrap/diagnóstico,read-only,toolName,string,False,,,functional,Alias of `name` for symmetry with the `schema` tool's filter param.
describe_tool,Bootstrap/diagnóstico,read-only,projectId,string,False,,,common,Optional projectId. Reserved for a future per-project scoping extension. The current catalog is global.
detect_dead_code,Análisis VBA,read-only,projectId,string,False,,,common,Canonical project identity for traceability. Prefer the Engram project name when available. Paths and roots still come from .dysflow/project.json unless explicitly overridden.
detect_dead_code,Análisis VBA,read-only,contextId,string,False,,,common,Optional run/context id for this call. Do not duplicate projectId when it has the same value; use this only for a distinct execution context or as a fallback when no projectId is known.
detect_dead_code,Análisis VBA,read-only,scope,enum,True,,binary | source | module,functional,Search scope for the dead-code analysis. The handler treats the caller-supplied modules map as the source of truth regardless of scope; `scope` and `module` are echoed back on the report for caller introspection.
detect_dead_code,Análisis VBA,read-only,module,string,False,,,functional,"Optional module-name constraint. When set, only procedures and declarations in that module are considered; risk is elevated to `Med` for surviving private-procedure findings because a narrowed scan may hide references that live outside the chosen module."
detect_dead_code,Análisis VBA,read-only,modules,object,False,,,functional,In-memory mapping of module name to VBA source code. The handler operates exclusively on this map and never opens Access or reads from disk. Omit to defer to the project-source-tree fallback resolved via the Access context.
detect_dead_code,Análisis VBA,read-only,accessPath,string,False,,,common,Optional override for Access frontend database path.
detect_dead_code,Análisis VBA,read-only,backendPath,string,False,,,common,Optional override for Access backend database path.
detect_dead_code,Análisis VBA,read-only,destinationRoot,string,False,,,common,Optional override for source/export root.
detect_dead_code,Análisis VBA,read-only,projectRoot,string,False,,,common,Optional override for project root.
detect_dead_code,Análisis VBA,read-only,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
detect_dead_code,Análisis VBA,read-only,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
detect_dead_code,Análisis VBA,read-only,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
detect_dead_code,Análisis VBA,read-only,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
diagnose,Bootstrap/diagnóstico,read-only,,,,,,none,Tool reports no parameters in schema({}).
diff_form_preview,UI de formularios,read-only,projectId,string,False,,,common,Canonical project identity for traceability.
diff_form_preview,UI de formularios,read-only,contextId,string,False,,,common,Optional run/context id for this call.
diff_form_preview,UI de formularios,read-only,beforePath,string,False,,,functional,Path to the LEFT .form.txt file (the baseline). Required unless projectId+beforeName resolves it via the project resolver.
diff_form_preview,UI de formularios,read-only,before,string,False,,,functional,Alias for beforePath.
diff_form_preview,UI de formularios,read-only,afterPath,string,False,,,functional,Path to the RIGHT .form.txt file (the modified). Required unless projectId+afterName resolves it via the project resolver.
diff_form_preview,UI de formularios,read-only,after,string,False,,,functional,Alias for afterPath.
diff_form_preview,UI de formularios,read-only,beforeName,string,False,,,functional,Optional form name used together with projectId to resolve beforePath via the project resolver.
diff_form_preview,UI de formularios,read-only,beforeForm,string,False,,,functional,Alias for beforeName.
diff_form_preview,UI de formularios,read-only,afterName,string,False,,,functional,Optional form name used together with projectId to resolve afterPath via the project resolver.
diff_form_preview,UI de formularios,read-only,afterForm,string,False,,,functional,Alias for afterName.
diff_form_preview,UI de formularios,read-only,output,enum,False,,svg | ascii | both,functional,"Payload to return in `data`. `svg` is the primary browser-friendly format (with data-diff='added|removed|moved|resized|same' on each rect); `ascii` is the terminal/agent fallback (with a diff-marker legend); `both` surfaces both. The structured envelope (changes, warnings) is always returned alongside."
diff_form_preview,UI de formularios,read-only,viewportScale,number,False,,,functional,Optional twips -> pixels multiplier. Defaults to 0.05. Passed through to both renderings.
diff_form_preview,UI de formularios,read-only,ascii,object,False,,,functional,Optional ASCII grid dimensions. Defaults to 80x24. Passed through to both renderings.
diff_form_preview,UI de formularios,read-only,epsilon,number,False,,,functional,Tolerance (twips) for the moved/resized classification. Defaults to 0. Any non-zero integer delta on the relevant axis is treated as a real change.
diff_form_preview,UI de formularios,read-only,outputMode,enum,False,,summary | file | full,common,"Response output mode determining payload content: 'summary', 'file', or 'full'."
distinct_values,Lectura DB/esquema,read-only,projectId,string,False,,,common,Canonical project identity for traceability.
distinct_values,Lectura DB/esquema,read-only,contextId,string,False,,,common,Optional run/context id for this call.
distinct_values,Lectura DB/esquema,read-only,accessPath,string,False,,,common,Optional override for Access frontend database path.
distinct_values,Lectura DB/esquema,read-only,backendPath,string,False,,,common,Optional override for Access backend database path.
distinct_values,Lectura DB/esquema,read-only,databasePath,string,False,,,functional,Database path.
distinct_values,Lectura DB/esquema,read-only,sourcePath,string,False,,,functional,Source path alias for databasePath.
distinct_values,Lectura DB/esquema,read-only,target,enum,False,,frontend | backend | auto,functional,Semantic target role for table-aware reads. auto probes the configured backend and frontend using tableName; it fails when the table is missing or exists in both. Explicit databasePath/sourcePath wins.
distinct_values,Lectura DB/esquema,read-only,tableName,string,False,,,functional,Table name.
distinct_values,Lectura DB/esquema,read-only,table,string,False,,,functional,Table name alias.
distinct_values,Lectura DB/esquema,read-only,columnName,string,False,,,functional,Column name.
distinct_values,Lectura DB/esquema,read-only,column,string,False,,,functional,Column name alias.
distinct_values,Lectura DB/esquema,read-only,sql,string,False,,,functional,SQL text.
distinct_values,Lectura DB/esquema,read-only,query,string,False,,,functional,SQL query alias.
doctor,Bootstrap/diagnóstico,read-only,projectId,string,False,,,common,canonical project identity for traceability. Prefer the Engram project name when available. Paths and roots still come from .dysflow/project.json unless explicitly overridden by a tool that supports overrides.
doctor,Bootstrap/diagnóstico,read-only,contextId,string,False,,,common,Optional run/context id for this call. Do not duplicate projectId when it has the same value; use this only for a distinct execution context or as a fallback when no projectId is known.
doctor,Bootstrap/diagnóstico,read-only,includeEnvironment,boolean,False,,,functional,Include environment diagnostics when supported.
doctor,Bootstrap/diagnóstico,read-only,accessPath,string,False,,,common,Optional override for Access frontend database path.
doctor,Bootstrap/diagnóstico,read-only,backendPath,string,False,,,common,Optional override for Access backend database path.
doctor,Bootstrap/diagnóstico,read-only,destinationRoot,string,False,,,common,Optional override for source/export root.
doctor,Bootstrap/diagnóstico,read-only,projectRoot,string,False,,,common,Optional override for project root.
doctor,Bootstrap/diagnóstico,read-only,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
doctor,Bootstrap/diagnóstico,read-only,expectedAccessPath,string,False,,,common,Expected resolved Access database path for strictContext.
doctor,Bootstrap/diagnóstico,read-only,expectedProjectRoot,string,False,,,common,Expected resolved project root for strictContext.
doctor,Bootstrap/diagnóstico,read-only,expectedDestinationRoot,string,False,,,common,Expected resolved destination root for strictContext.
doctor,Bootstrap/diagnóstico,read-only,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
drop_table,Escritura DB,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
drop_table,Escritura DB,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
drop_table,Escritura DB,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
drop_table,Escritura DB,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
drop_table,Escritura DB,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
drop_table,Escritura DB,write-capable,projectRoot,string,False,,,common,Optional override for project root.
drop_table,Escritura DB,write-capable,databasePath,string,False,,,functional,Database path.
drop_table,Escritura DB,write-capable,sourcePath,string,False,,,functional,Source path alias for databasePath.
drop_table,Escritura DB,write-capable,tableName,string,False,,,functional,Table name.
drop_table,Escritura DB,write-capable,table,string,False,,,functional,Table name alias.
drop_table,Escritura DB,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
drop_table,Escritura DB,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
exec_sql,Escritura DB,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
exec_sql,Escritura DB,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
exec_sql,Escritura DB,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
exec_sql,Escritura DB,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
exec_sql,Escritura DB,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
exec_sql,Escritura DB,write-capable,projectRoot,string,False,,,common,Optional override for project root.
exec_sql,Escritura DB,write-capable,databasePath,string,False,,,functional,Database path.
exec_sql,Escritura DB,write-capable,sourcePath,string,False,,,functional,Source path alias for databasePath.
exec_sql,Escritura DB,write-capable,sql,string,False,,,functional,SQL text.
exec_sql,Escritura DB,write-capable,query,string,False,,,functional,SQL query alias.
exec_sql,Escritura DB,write-capable,dryRun,boolean,False,,,common,"Plan the write without applying it. Writes DEFAULT to dry-run: a write tool only commits when apply:true or dryRun:false is passed, so omitting both flags is safe. dryRun:true is the explicit form of that default."
exec_sql,Escritura DB,write-capable,apply,boolean,False,,,common,"Commit the write, disabling the default dry-run. apply:true takes precedence over dryRun. Omit both apply and dryRun to plan only (the safe default)."
exec_sql,Escritura DB,write-capable,allowTables,array,False,,,functional,Allowed tables.
exec_sql,Escritura DB,write-capable,allowTable,string,False,,,functional,Single allowed table.
exec_sql,Escritura DB,write-capable,denyTables,array,False,,,functional,Denied tables.
exec_sql,Escritura DB,write-capable,denyTable,string,False,,,functional,Single denied table.
exists,Sync VBA,read-only,projectId,string,False,,,common,Canonical project identity for traceability.
exists,Sync VBA,read-only,contextId,string,False,,,common,Optional run/context id for this call.
exists,Sync VBA,read-only,accessPath,string,False,,,common,Optional override for Access frontend database path.
exists,Sync VBA,read-only,backendPath,string,False,,,common,Optional override for Access backend database path.
exists,Sync VBA,read-only,destinationRoot,string,False,,,common,Optional override for source/export root.
exists,Sync VBA,read-only,projectRoot,string,False,,,common,Optional override for project root.
exists,Sync VBA,read-only,name,string,False,,,functional,Object or generated form name.
exists,Sync VBA,read-only,moduleName,string,False,,,functional,VBA module name.
exists,Sync VBA,read-only,timeoutMs,number,False,,,common,Operation timeout in milliseconds. Overrides project config timeout.
export_all,Sync VBA,write-capable,projectId,string,False,,,common,Canonical project identity for traceability.
export_all,Sync VBA,write-capable,contextId,string,False,,,common,Optional run/context id for this call.
export_all,Sync VBA,write-capable,accessPath,string,False,,,common,Optional override for Access frontend database path.
export_all,Sync VBA,write-capable,backendPath,string,False,,,common,Optional override for Access backend database path.
export_all,Sync VBA,write-capable,destinationRoot,string,False,,,common,Optional override for source/export root.
export_all,Sync VBA,write-capable,projectRoot,string,False,,,common,Optional override for project root.
export_all,Sync VBA,write-capable,strictContext,boolean,False,,,common,Abort before opening Access if resolved target does not match expected paths.
